iter	Passed	Remaining
0	3	334
1	6	329
2	10	325
3	11	286
4	14	274
5	16	266
6	27	358
7	29	343
8	33	336
9	36	329
10	41	334
11	43	320
12	45	305
13	47	294
14	51	293
15	57	299
16	59	288
17	61	278
18	62	268
19	64	259
20	66	250
21	69	245
22	71	237
23	72	230
24	74	223
25	76	217
26	78	211
27	80	207
28	85	208
29	88	205
30	91	202
31	115	244
32	119	243
33	122	237
34	125	233
35	128	227
36	132	225
37	135	221
38	138	216
39	141	212
40	144	207
41	145	200
42	149	197
43	154	196
44	170	208
45	178	209
46	185	209
47	191	207
48	199	208
49	210	210
50	232	223
51	252	232
52	256	227
53	260	221
54	262	214
55	269	211
56	272	205
57	275	199
58	277	192
59	279	186
60	281	180
61	284	174
62	286	168
63	292	164
64	295	158
65	297	153
66	300	148
67	303	142
68	306	137
69	308	132
70	311	127
71	313	121
72	315	116
73	318	111
74	324	108
75	329	103
76	334	99
77	338	95
78	341	90
79	344	86
80	347	81
81	349	76
82	353	72
83	355	67
84	357	63
85	360	58
86	363	54
87	367	50
88	369	45
89	372	41
90	377	37
91	380	33
92	382	28
93	385	24
94	387	20
95	390	16
96	392	12
97	395	8
98	397	4
99	399	0
